1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00
1.000000000000000000e+02,2.000000000000000000e+01,9.391431353456669573e-01
1.200000000000000000e+02,3.000000000000000000e+01,9.391431353456669573e-01
1.400000000000000000e+02,4.000000000000000000e+01,9.391431353456669573e-01
1.600000000000000000e+02,5.000000000000000000e+01,9.391431353456669573e-01
1.800000000000000000e+02,6.000000000000000000e+01,9.391431353456669573e-01
2.000000000000000000e+02,7.000000000000000000e+01,9.391431353456669573e-01
2.200000000000000000e+02,8.000000000000000000e+01,9.391431353456669573e-01
2.400000000000000000e+02,9.000000000000000000e+01,9.391431353456669573e-01
2.600000000000000000e+02,1.000000000000000000e+02,9.391431353456669573e-01
2.800000000000000000e+02,1.100000000000000000e+02,9.391431353456669573e-01
